en_text,fr_text
"Some of my hypotheses are that when you first think about skeletal muscle, there's a lot of blood vessels going to skeletal muscle. And the first thing that makes me think is that blood vessels are like highways for the tumor cells. Tumor cells can travel through the blood vessels. And you think, the more highways there are in a tissue, the more likely it is to get cancer or to get metastases. So first of all I thought, you know, ""Wouldn't it be favorable to cancer getting to skeletal muscle?"" And as well, cancer tumors require a process called angiogenesis, which is really, the tumor recruits the blood vessels to itself to supply itself with nutrients so it can grow. Without angiogenesis, the tumor remains the size of a pinpoint and it's not harmful. So angiogenesis is really a central process to the pathogenesis of cancer.","Certaines de mes hypothèses sont que lorsque vous considérez le muscle squelettique, il y a de nombreux vaisseaux sanguins qui irriguent le muscle. Et ma première pensée fut que les vaisseaux sanguins sont comme des autoroutes pour les cellules cancéreuses. Les cellules cancéreuses peuvent voyager dans le courant sanguin. Et donc, le plus d'autoroutes on trouve dans un tissu, plus il est probable que ce tissu devienne cancéreux ou métastasé. Au départ, j'ai donc pensé, ""Ne serait-ce pas favorable pour le cancer de se localiser dans le muscle squelettique ?"" Et, également, les tumeurs cancéreuses nécessitent un processus nommé l'angiogénèse, qui consiste en la tumeur attirant les vaisseaux sanguins à elle afin de pouvoir s'alimenter pour grandir. Sans angiogénèse, la tumeur reste de la taille d'une tête d'épingle, inoffensive. L'angiogénèse est donc un processus central dans la pathogénèse du cancer."
"And one article that really stood out to me when I was just reading about this, trying to figure out why cancer doesn't go to skeletal muscle, was that it had reported 16 percent of micro-metastases to skeletal muscle upon autopsy. 16 percent! Meaning that there were these pinpoint tumors in skeletal muscle, but only .16 percent of actual metastases -- suggesting that maybe skeletal muscle is able to control the angiogenesis, is able to control the tumors recruiting these blood vessels. We use skeletal muscles so much. It's the one portion of our body -- our heart's always beating. We're always moving our muscles. Is it possible that muscle somehow intuitively knows that it needs this blood supply? It needs to be constantly contracting, so therefore it's almost selfish. It's grabbing its blood vessels for itself. Therefore, when a tumor comes into skeletal muscle tissue, it can't get a blood supply, and can't grow.","Et un article qui a retenu mon attention, alors que je lisais sur ce sujet, en essayant de comprendre pourquoi le cancer ne va pas dans le muscle squelettique, rapportait 16% de micro-métastases dans le muscle squelettique lors de l'autopsie. 16% ! Ce qui signifiait qu'il y avait ces tumeurs de la taille d'une aiguille dans le muscle squelettique mais seulement 0,16% de métastases avérées -- ce qui suggérait la capacité du muscle squelettique à contrôler l'angiogénèse, à contrôler les tumeurs qui captent à elles les vaisseaux sanguins. Nous utilisons en permanences nos muscles. C'est la seule portion de notre corps -- notre cœur bat sans arrêt. Nous bougeons tout le temps nos muscles. Est-ce possible qu'intuitivement le muscle sache qu'il a besoin de cet afflux sanguin ? Il a besoin de se contracter en permanence, donc c'est un organe égoïste. Il accapare les vaisseaux sanguins pour son usage. D'où, lorsqu'une tumeur s'installe dans le muscle squelettique, elle ne peut s'approvisionner en sang, et ne peut grandir."
"So this suggests that maybe if there is an anti-angiogenic factor in skeletal muscle -- or perhaps even more, an angiogenic routing factor, so it can actually direct where the blood vessels grow -- this could be a potential future therapy for cancer. And another thing that's really interesting is that there's this whole -- the way tumors move throughout the body, it's a very complex system -- and there's something called the chemokine network. And chemokines are essentially chemical attractants, and they're the stop and go signals for cancer. So a tumor expresses chemokine receptors, and another organ -- a distant organ somewhere in the body -- will have the corresponding chemokines, and the tumor will see these chemokines and migrate towards it. Is it possible that skeletal muscle doesn't express this type of molecules? And the other really interesting thing is that when skeletal muscle -- there's been several reports that when skeletal muscle is injured, that's what correlates with metastases going to skeletal muscle.","Cela suggère qu'il existe peut-être un facteur anti-angiogénique dans le muscle squelettique -- ou peut-être encore mieux, un facteur de redirection de l'angiogénèse, qui peut diriger la croissance des vaisseaux sanguins. Cela pourrait être une thérapie potentielle pour le cancer. Une autre chose passionnante est qu'il y a cet ensemble -- la façon dont les tumeurs se déplacent dans le corps par un système très complexe -- qu'on appelle le réseau de chémokines. Les chémokines sont essentiellement des capteurs chimiques, et ce sont les signaux de départ et d'arrêt pour le cancer. Une tumeur doit donc produire des récepteurs de chémokines, et un autre organe -- distant dans le corps -- aura les chémokines correspondantes, et la tumeur va identifier ces chémokines et migrer dans leur direction. Est-il possible que le muscle squelettique ne produise pas ces types de molécules ? Et l'autre phénomène vraiment intéressant est que lorsque le muscle squelettique -- il y a eu plusieurs cas rapportés de corrélation entre lésion musculaire et développement de métastases musculaires."
"And, furthermore, when skeletal muscle is injured, that's what causes chemokines -- these signals saying, ""Cancer, you can come to me,"" the ""go signs"" for the tumors -- it causes them to highly express these chemokines. So, there's so much interplay here. I mean, there are so many possibilities for why tumors don't go to skeletal muscle. But it seems like by investigating, by attacking cancer, by searching where cancer is not, there has got to be something -- there's got to be something -- that's making this tissue resistant to tumors. And can we utilize -- can we take this property, this compound, this receptor, whatever it is that's controlling these anti-tumor properties and apply it to cancer therapy in general? Now, one thing that kind of ties the resistance of skeletal muscle to cancer -- to the cancer as a repair response gone out of control in the body -- is that skeletal muscle has a factor in it called ""MyoD."" And what MyoD essentially does is, it causes cells to differentiate into muscle cells. So this compound, MyoD, has been tested on a lot of different cell types and been shown to actually convert this variety of cell types into skeletal muscle cells. So, is it possible that the tumor cells are going to the skeletal muscle tissue, but once in contact inside the skeletal muscle tissue, MyoD acts upon these tumor cells and causes them to become skeletal muscle cells? Maybe tumor cells are being disguised as skeletal muscle cells, and this is why it seems as if it is so rare.","De plus, lorsque le muscle squelettique est endommagé, c'est ce qui est à l'origine des chémokines -- ces signaux qui disent, ""Cancer, tu peux venir à moi"", c'est le signal de départ pour les tumeurs -- ces lésions musculaires sont à l'origine de la production élevée de chémokines. Il y a beaucoup d'interactions dans ce processus. Ce que je veux dire, c'est qu'il y a tellement de possibilités pour expliquer l'absence de tumeurs dans le muscle squelettique. Mais il semble qu'en enquêtant, en attaquant le cancer, en cherchant pourquoi le cancer n'est pas là, il doit y avoir une raison -- il doit y avoir quelque chose -- qui rend ce tissu résistant aux tumeurs. Et pouvons nous utiliser -- pouvons nous prendre cette propriété, ce composé, ce récepteur, quel que soit ce qui contrôle ces propriétés anti-tumorales et l'appliquer à la thérapie anti-cancéreuse en général ? Maintenant, une chose relie un peu la résistance du muscle squelettique au cancer -- au cancer comme processus de réparation du corps qui échappe au contrôle -- est la présence d'un facteur appelé MyoD dans le muscle squelettique. MyoD est responsable de la différenciation des cellules en cellules musculaires. Donc cette protéine, MyoD, a été testée sur de nombreux autres types cellulaires et il a été montré qu'elle peut convertir une grande variété de cellules en cellules de muscle strié. Donc, serait-il possible que les cellules tumorales aillent dans le tissu musculaire, mais une fois en contact avec ce dernier, que MyoD agisse sur ces cellules tumorales pour les transformer en cellules de muscle strié ? Peut-être que les cellules tumorales sont déguisées en cellules de muscle strié, et que c'est pour cette raison qu'elle semblent si rares."
"It's not harmful; it has just repaired the muscle. Muscle is constantly being used -- constantly being damaged. If every time we tore a muscle or every time we stretched a muscle or moved in a wrong way, cancer occurred -- I mean, everybody would have cancer almost. And I hate to say that. But it seems as though muscle cell, possibly because of all its use, has adapted faster than other body tissues to respond to injury, to fine-tune this repair response and actually be able to finish the process which the body wants to finish. I really believe that the human body is very, very smart, and we can't counteract something the body is saying to do.","Ce n'est pas dangereux, juste une réparation du muscle. Les muscle sont constamment utilisés, constamment endommagés. Si, à chaque élongation, à chaque claquage, ou à chaque faux mouvement, le cancer se manifestait -- tout le monde aurait le cancer, ou presque. Et je n'aime pas dire ça. Mais il semble que les cellules musculaires, peut-être à cause de cette utilisation intensive, se sont adaptées plus vite que d'autres tissus du corps pour répondre aux lésions, et pour parfaire ce processus de réparation qui peut alors être effectivement terminé comme il était initialement prévu. Je crois vraiment que le corps humain est très, très intelligent et que nous ne pouvons contrecarrer ce que le corps entreprend."
"It's different when a bacteria comes into the body -- that's a foreign object -- we want that out. But when the body is actually initiating a process and we're calling it a disease, it doesn't seem as though elimination is the right solution. So even to go from there, it's possible, although far-fetched, that in the future we could almost think of cancer being used as a therapy. If those diseases where tissues are deteriorating -- for example Alzheimer's, where the brain, the brain cells, die and we need to restore new brain cells, new functional brain cells -- what if we could, in the future, use cancer? A tumor -- put it in the brain and cause it to differentiate into brain cells?","C'est différent lorsqu'une bactérie s'installe dans notre corps, il s'agit d'un corps étranger -- le corps veut s'en débarrasser. Mais lorsque le corps est en train d'initier un processus et que nous l'appelons maladie, il ne me semble pas que l'élimination soit la bonne solution. Pour aller plus loin, il est possible -- perspective lointaine certes -- que dans le futur nous puissions considérer le cancer comme une thérapie. Si ces maladies où les tissus dégénèrent -- par exemple la maladie d'Alzheimer, où le cerveau, les neurones, meurent et que nous devons recréer des neurones fonctionnels -- peut-être pourrons nous, dans le futur, utiliser le cancer ? Une tumeur pourrait-elle être implantée dans le cerveau pour regénérer des neurones ?"
"That's a very far-fetched idea, but I really believe that it may be possible. These cells are so versatile, these cancer cells are so versatile -- we just have to manipulate them in the right way. And again, some of these may be far-fetched, but I figured if there's anywhere to present far-fetched ideas, it's here at TED, so thank you very much.","C'est une idée qui peut sembler tirée par les cheveux, mais je la crois possible. Ces cellules sont si polyvalentes, ces cellules cancéreuses sont si versatiles -- nous n'avons qu'à les manipuler correctement. Et, de nouveau, certaines idées que j'ai exposées peuvent sembler farfelues, mais je me suis dit que s'il y avait un endroit où les présenter, c'était ici, à TED, donc merci beaucoup."
(Applause),(Applaudissements)
"18 minutes is an absolutely brutal time limit, so I'm going to dive straight in, right at the point where I get this thing to work. Here we go. I'm going to talk about five different things. I'm going to talk about why defeating aging is desirable. I'm going to talk about why we have to get our shit together, and actually talk about this a bit more than we do. I'm going to talk about feasibility as well, of course. I'm going to talk about why we are so fatalistic about doing anything about aging. And then I'm going spend perhaps the second half of the talk talking about, you know, how we might actually be able to prove that fatalism is wrong, namely, by actually doing something about it.","La limite de 18 minutes est absolument brutale, je vais donc attaquer mon sujet tout de suite, sans tourner autour du pot, aussitôt que j'arriverai à faire marcher ce truc. Voilà. Je vais parler de cinq choses différentes. Je vais parler des raisons pour lesquelles il est souhaitable de vaincre le vieillissement. Je vais parler des raisons pour lesquelles il faut qu'on se remue, et qu'on se mette vraiment à en parler un peu plus qu'on ne le fait actuellement. Je parlerai aussi de la faisabilité, bien entendu. Je vais parler des raisons pour lesquelles nous sommes si fatalistes lorsqu'il s'agit d'agir contre le vieillissement. Et puis je passerai peut-être à la deuxième moitié de l'exposé à parler de, voyez-vous, comment nous pourrions être capable de prouver que l'on a tort d'être fataliste, c'est à dire - en faisant réellement quelque chose pour y remédier."
"I'm going to do that in two steps. The first one I'm going to talk about is how to get from a relatively modest amount of life extension -- which I'm going to define as 30 years, applied to people who are already in middle-age when you start -- to a point which can genuinely be called defeating aging. Namely, essentially an elimination of the relationship between how old you are and how likely you are to die in the next year -- or indeed, to get sick in the first place. And of course, the last thing I'm going to talk about is how to reach that intermediate step, that point of maybe 30 years life extension.","Je vais procéder en deux étapes. La première chose dont je vais parler, c'est comment passer d'une extension de vie relativement modeste -- disons 30 ans, appliquée à des gens qui sont déjà d'âge moyen quand on commence -- jusqu'au point où l'on peut vraiment parler de vaincre le vieillissement. C'est à dire, une élimination du rapport entre votre âge et la probabilité que vous avez de mourir l'année prochaine -- ou même de tomber malade. Et bien sûr, la dernière chose dont je vais parler est comment arriver à ce point intermédiaire, ce point de, peut-être, 30 ans d'extension de vie."
"So I'm going to start with why we should. Now, I want to ask a question. Hands up: anyone in the audience who is in favor of malaria? That was easy. OK. OK. Hands up: anyone in the audience who's not sure whether malaria is a good thing or a bad thing? OK. So we all think malaria is a bad thing. That's very good news, because I thought that was what the answer would be. Now the thing is, I would like to put it to you that the main reason why we think that malaria is a bad thing is because of a characteristic of malaria that it shares with aging. And here is that characteristic. The only real difference is that aging kills considerably more people than malaria does.","Donc, je vais commencer en expliquant pourquoi nous devrions le faire. Maintenant je veux poser une question. Levez la main: qui parmi vous est en faveur de la malaria? C'était facile. OK. OK. Levez la main, qui parmi le public ne sait pas si la malaria est une bonne ou une mauvaise chose? Bon. Nous pensons tous que la malaria est une mauvaise chose. C'est une très bonne nouvelle, parce que c'est justement la réponse à laquelle je m'attendais. Ce qu'il y a, c'est que j'aimerais vous suggérer que la principale raison pour laquelle nous pensons que la malaria est une mauvaise chose est à cause d'une caractéristique de la malaria qu'elle a en commun avec le vieillissement. Et voici cette caractéristique. la seule véritable différence est que le vieillissement tue considérablement plus de monde que la malaria."
"Now, I like in an audience, in Britain especially, to talk about the comparison with foxhunting, which is something that was banned after a long struggle, by the government not very many months ago. I mean, I know I'm with a sympathetic audience here, but, as we know, a lot of people are not entirely persuaded by this logic. And this is actually a rather good comparison, it seems to me. You know, a lot of people said, ""Well, you know, city boys have no business telling us rural types what to do with our time. It's a traditional part of the way of life, and we should be allowed to carry on doing it. It's ecologically sound; it stops the population explosion of foxes."" But ultimately, the government prevailed in the end, because the majority of the British public, and certainly the majority of members of Parliament, came to the conclusion that it was really something that should not be tolerated in a civilized society.","Maintenant, surtout en Grande Bretagne, j'aime devant un public faire une comparaison avec la chasse au renard, qui est quelque chose qui a été interdit après une longue lutte, par le gouvernement il y a seulement quelques mois. Je veux dire, je sais bien que j'ai ici un public qui m'est bien disposé mais, comme nous le savons, beaucoup de gens ne sont pas tout à fait persuadés par cette logique. Et celle-ci est, en fait, plutôt une bonne comparaison, me semble-t-il. Vous savez, beaucoup de gens ont dit, ""Bon, vous savez, les citadins n'on pas le droit de dire à nous, des gens de la campagne, comment nous devrions nous occuper. C' est un aspect traditionnel de notre mode de vie, et l'on devrait nous permettre de le poursuivre. C'est écologique; cela freine l'explosion démographique des renards."" Mais finalement, le gouvernement l'a emporté, parce que la majorité du public britannique, et certainement la majorité des parlementaires, a conclu qu'il sagissait là vraiment de quelque chose qu'une société civilisée ne peut se permettre de tolérer."
"And I think that human aging shares all of these characteristics in spades. What part of this do people not understand? It's not just about life, of course -- (Laughter) -- it's about healthy life, you know -- getting frail and miserable and dependent is no fun, whether or not dying may be fun. So really, this is how I would like to describe it. It's a global trance. These are the sorts of unbelievable excuses that people give for aging. And, I mean, OK, I'm not actually saying that these excuses are completely valueless. There are some good points to be made here, things that we ought to be thinking about, forward planning so that nothing goes too -- well, so that we minimize the turbulence when we actually figure out how to fix aging.","Et moi, je pense que le vieillissement humain partage toutes ces caractéristiques en abondance. Qu'est que c'est que les gens ne comprennent pas dans tout cela? Il ne s'agit pas seulement de la vie, bien sûr -- (Rires) il s'agit d'une vie saine, vous savez -- faiblir, devenir misérable et dépendant n'est pas amusant, que mourir le soit ou pas. Alors vraiment, c'est comme ça que je voudrais le décrire. C'est une transe mondiale. voici le genre d'excuses incroyables que les gens donnent pour le vieillissement. Et, je veux dire, d'accord, je ne prétends pas que ces excuses sont tout à fait sans valeur. Il y a là quelques bons points. Des choses auxquelles nous devrions penser, planifier pour que rien ne soit catastrophique, enfin pour minimiser la turbulence qui surviendra lorsque nous arriverons à comprendre comment remédier au vieillissement."
"But these are completely crazy, when you actually remember your sense of proportion. You know, these are arguments; these are things that would be legitimate to be concerned about. But the question is, are they so dangerous -- these risks of doing something about aging -- that they outweigh the downside of doing the opposite, namely, leaving aging as it is? Are these so bad that they outweigh condemning 100,000 people a day to an unnecessarily early death? You know, if you haven't got an argument that's that strong, then just don't waste my time, is what I say. (Laughter)","Mais ce sont là des questions tout à fait folles, lorsque vous pensez à garder un sens des proportions. Vous savez, ce sont des arguments, des choses à propos desquelles il serait légitime de s'inquiéter. Mais la vraie question est, sont-ils aussi dangereux -- ces risques de remédier au vieillissement -- qu'ils dépassent les inconvénients de faire le contraire, c'est à dire, de laisser le vieillissement tel qu'il est? Sont ils si mauvais qu'ils dépassent le fait de condamner 100.000 personnes par jour à une mort prématurée évitable. Vous savez, si vous n'avez pas un argument qui pèse aussi fort que cela, alors, je dis ne gaspillez pas mon temps. (Rires)"
"Now, there is one argument that some people do think really is that strong, and here it is. People worry about overpopulation; they say, ""Well, if we fix aging, no one's going to die to speak of, or at least the death toll is going to be much lower, only from crossing St. Giles carelessly. And therefore, we're not going to be able to have many kids, and kids are really important to most people."" And that's true. And you know, a lot of people try to fudge this question, and give answers like this. I don't agree with those answers. I think they basically don't work. I think it's true, that we will face a dilemma in this respect. We will have to decide whether to have a low birth rate, or a high death rate. A high death rate will, of course, arise from simply rejecting these therapies, in favor of carrying on having a lot of kids.","Bon, il y a un argument que certains considèrent comme vraiment très fort et le voici. Les gens s'inquiètent de la surpopulation, ils disent, ""Bon, si nous vainquons le vieillissement, presque personne ne mourra, ou du moins le taux de mortalité sera beaucoup plus faible, seulement dû aux gens qui traversent la rue sans faire attention. Et par conséquent, nous ne pourrons pas avoir beaucoup d'enfants, et les enfants sont super importants pour la plupart des gens."" Et c'est vrai. Et vous savez, beaucoup de gens essayent de brouiller cette question, et de donner des réponses comme celles-ci. Je ne suis pas d'accord avec ces réponses. Je pense qu'elles ne marchent pas. Je pense qu'il est vrai que nous devrons affronter un dilemme à ce sujet. Nous devrons choisir si nous voulons un taux de natalité faible, ou un taux de mortalité élevé. Un taux de mortalité élevé résultera, évidemment, d'un simple rejet de ces thérapies, pour pouvoir continuer à avoir beaucoup d'enfants."
"And, I say that that's fine -- the future of humanity is entitled to make that choice. What's not fine is for us to make that choice on behalf of the future. If we vacillate, hesitate, and do not actually develop these therapies, then we are condemning a whole cohort of people -- who would have been young enough and healthy enough to benefit from those therapies, but will not be, because we haven't developed them as quickly as we could -- we'll be denying those people an indefinite life span, and I consider that that is immoral. That's my answer to the overpopulation question.","Et moi je dis que ça va -- la postérité à le droit de faire ce choix. Ce qui ne va pas, c'est que nous fassions ce choix au nom de la postérité. Si nous hésitons, et ne développons pas ces thérapies, alors nous condamnons toute une cohorte de gens -- qui auraient été assez jeunes et sains pour bénéficier de ces thérapies mais ne le seront pas, parce que nous ne les aurons pas mis au point aussi rapidement que nous l'aurions dû nous priverons ces gens là d'une durée de vie indéterminée, et je considère cela immoral. C'est ma réponse à la question de la surpopulation."
"Right. So the next thing is, now why should we get a little bit more active on this? And the fundamental answer is that the pro-aging trance is not as dumb as it looks. It's actually a sensible way of coping with the inevitability of aging. Aging is ghastly, but it's inevitable, so, you know, we've got to find some way to put it out of our minds, and it's rational to do anything that we might want to do, to do that. Like, for example, making up these ridiculous reasons why aging is actually a good thing after all. But of course, that only works when we have both of these components. And as soon as the inevitability bit becomes a little bit unclear -- and we might be in range of doing something about aging -- this becomes part of the problem. This pro-aging trance is what stops us from agitating about these things. And that's why we have to really talk about this a lot -- evangelize, I will go so far as to say, quite a lot -- in order to get people's attention, and make people realize that they are in a trance in this regard. So that's all I'm going to say about that.","Bon. La chose suivante c'est de se demander pourquoi nous devrions commencer à être un peu plus actifs sur cette question. Et la réponse fondamentale est que la transe en faveur du vieillissement n'est pas si bête que ça. En fait, c'est une façon censée d'affronter l'inéluctabilité du vieillissement. Vieillir c'est horrible, mais c'est inévitable, alors vous savez, nous devons trouver une manière de ne pas y penser, et il est raisonnable de faire quoi que ce soit pour réussir. Comme, par exemple, inventer ces raisons ridicules selon lesquelles vieillir serait en fait quelque chose de bon. Mais bien sûr, cela ne marche que lorsque vous avez les deux composants. Et dès que le caractère inévitable devient un peu moins évident, et que nous approchons de la possibilité d'en faire quelque chose, cette attitude fait partie du problème. Cette transe en faveur du vieillissement c'est ce qui nous empêche de nous remuer sur ces questions. Et c'est pour ça que nous devons vraiment en parler beaucoup -- je dirais même évangéliser -- de façon à capter l'attention des gens, de faire qu'ils se rendent compte qu'ils sont dans une transe à cet égard. Donc, c'est tout ce que je dirai de cela."
"I'm now going to talk about feasibility. And the fundamental reason, I think, why we feel that aging is inevitable is summed up in a definition of aging that I'm giving here. A very simple definition. Aging is a side effect of being alive in the first place, which is to say, metabolism. This is not a completely tautological statement; it's a reasonable statement. Aging is basically a process that happens to inanimate objects like cars, and it also happens to us, despite the fact that we have a lot of clever self-repair mechanisms, because those self-repair mechanisms are not perfect.","Je vais parler maintenant de la faisabilité. Et la raison fondamentale, je pense, pour laquelle nous croyons que vieillir est inévitable se résume dans une définition du vieillissement que je donne ici. Une définition très simple. Le vieillissement est un effet secondaire d'être en vie, c'est à dire, le métabolisme. Cette affirmation n'est pas tout à fait tautologique; c'est une affirmation raisonnable. Vieillir est un processus qui arrive aux objets inanimés comme les voitures, et qui nous arrive à nous aussi, malgré le fait que nous avons beaucoup de méchanismes d'auto-réparation plutôt futés, parce que ces méchanismes sont imparfaits."
"So basically, metabolism, which is defined as basically everything that keeps us alive from one day to the next, has side effects. Those side effects accumulate and eventually cause pathology. That's a fine definition. So we can put it this way: we can say that, you know, we have this chain of events. And there are really two games in town, according to most people, with regard to postponing aging. They're what I'm calling here the ""gerontology approach"" and the ""geriatrics approach."" The geriatrician will intervene late in the day, when pathology is becoming evident, and the geriatrician will try and hold back the sands of time, and stop the accumulation of side effects from causing the pathology quite so soon. Of course, it's a very short-term-ist strategy; it's a losing battle, because the things that are causing the pathology are becoming more abundant as time goes on.","Alors, le métabolisme, qui se définit comme essentiellement tout ce qui nous maintient en vie d'une journée à l'autre, a des effets secondaires. Ces effets secondaires s'accumulent et finissent par provoquer des pathologies. C'est une excellente définition. Alors, nous pouvons dire cela ainsi: nous pouvons dire, vous savez, qu'il y a cet enchaînement d'évenements. Et en fait il y a deux approches, selon la plupart des gens, en ce qui concerne le report du vieillissement C'est ce que j'appelle l'approche de la gérontologie et l'approche de la gériatrie. Le gériatre va intervenir tard quand la pathologie devient évidente, et le gériatre va essayer de retenir l'écoulement du temps, et d'empêcher que l'accumulation des effets secondaires cause des pathologies aussi rapidement que prévu. Bien sûr c'est une stratégie à très court terme, c'est une bataille perdue d'avance, parce que les choses qui causent la pathologie deviennent de plus en plus abondantes au fur et à mesure que le temps passe."
"The gerontology approach looks much more promising on the surface, because, you know, prevention is better than cure. But unfortunately the thing is that we don't understand metabolism very well. In fact, we have a pitifully poor understanding of how organisms work -- even cells we're not really too good on yet. We've discovered things like, for example, RNA interference only a few years ago, and this is a really fundamental component of how cells work. Basically, gerontology is a fine approach in the end, but it is not an approach whose time has come when we're talking about intervention. So then, what do we do about that? I mean, that's a fine logic, that sounds pretty convincing, pretty ironclad, doesn't it?","L'approche de la gérontologie apparait beaucoup plus prometteuse d'abord, parce que, vous savez, mieux vaut prévenir que guérir. Mais malheureusement, ce qu'il y a, c'est que nous ne comprenons pas très bien le métabolisme. En réalité, nous avons une compréhension de la façon dont les organismes fonctionnent qui fait pitié par sa carence -- même pour ce qui est des cellules, on n'est vraiment pas encore très forts. On a découvert des choses comme, par exemple, l'interférence ARN, il y a seulement quelques années, et celle-ci est vraiment un élément fondamental du fonctionnement des cellules. Au fond, la gérontologie est une très bonne approche finalement, mais ce n'est pas une approche dont l'heure est venue quand nous parlons d'intervention. Alors, que faire? Je veux dire, c'est une belle logique, cela semble fort convaincant, assez solide, n'est-ce pas?"
"But it isn't. Before I tell you why it isn't, I'm going to go a little bit into what I'm calling step two. Just suppose, as I said, that we do acquire -- let's say we do it today for the sake of argument -- the ability to confer 30 extra years of healthy life on people who are already in middle age, let's say 55. I'm going to call that ""robust human rejuvenation."" OK. What would that actually mean for how long people of various ages today -- or equivalently, of various ages at the time that these therapies arrive -- would actually live? In order to answer that question -- you might think it's simple, but it's not simple. We can't just say, ""Well, if they're young enough to benefit from these therapies, then they'll live 30 years longer."" That's the wrong answer. And the reason it's the wrong answer is because of progress.","Mais cela ne l'est pas. Avant que je vous explique pourquoi, je vais aborder un petit peu ce que j'appelle la deuxième étape. Supposons, comme j'ai dit, que nous acquérons -- disons, aujourd'hui -- la capacité de donner 30 ans supplémentaires de vie en bonne santé à des gens qui sont déjà d'âge moyen, disons 55 ans. Je vais appeler cela rajeunissement humain robuste. OK. Qu'est cela voudra dire en réalité pour ce qui concerne l'espérance de vie de gens d'âges variés aujourd'hui ou plutôt pour ces gens d'âge variés au moment où ces thérapies -- arriveront? Pour répondre à cette question -- il se peut que vous pensiez que c'est simple, Mais ce n'est pas simple. Nous ne pouvons pas juste dire, ""Eh bien, s'ils sont assez jeunes pour bénéficier de ces thérapies alors ils auront 30 ans supplémentaires de vie."" C'est la mauvaise réponse. Et la raison pour laquelle c'est la mauvaise réponse, c'est suite au progrès."
"There are two sorts of technological progress really, for this purpose. There are fundamental, major breakthroughs, and there are incremental refinements of those breakthroughs. Now, they differ a great deal in terms of the predictability of time frames. Fundamental breakthroughs: very hard to predict how long it's going to take to make a fundamental breakthrough. It was a very long time ago that we decided that flying would be fun, and it took us until 1903 to actually work out how to do it. But after that, things were pretty steady and pretty uniform. I think this is a reasonable sequence of events that happened in the progression of the technology of powered flight. We can think, really, that each one is sort of beyond the imagination of the inventor of the previous one, if you like. The incremental advances have added up to something which is not incremental anymore.","En fait, il existe deux sortes de progrès technologiques, concernant ceci. Il y a des percées majeures, fondamentales, et il y a des améliorations progressives de ces percées. Il se trouve qu'il y a beaucoup de différence entre les deux en ce qui concerne la possibilité de prévoir des délais. Percées fondamentales: très difficile de prédire le temps qu'il faudra pour avoir une percée fondamentale. C'était il y a très longtemps que les êtres humains se sont dit que ce serait amusant de voler, et il a fallu attendre 1903 pour réellement découvrir comment le faire. Mais après cela les choses se sont déroulées d'une façon plutôt constante et régulière Je pense que c'est raisonnable de dire que c'est comme ça que les choses sont arrivées en ce qui concerne les progrès dans la domaine du vol à moteur. Nous pouvons imaginer, en fait, que chacune des améliorations est plus ou moins inimaginable pour l'inventeur de la précédente, si vous voulez. Les avancées progressives accumulées constituent quelque chose qui ne resemble plus à une simple amélioration."
"This is the sort of thing you see after a fundamental breakthrough. And you see it in all sorts of technologies. Computers: you can look at a more or less parallel time line, happening of course a bit later. You can look at medical care. I mean, hygiene, vaccines, antibiotics -- you know, the same sort of time frame. So I think that actually step two, that I called a step a moment ago, isn't a step at all. That in fact, the people who are young enough to benefit from these first therapies that give this moderate amount of life extension, even though those people are already middle-aged when the therapies arrive, will be at some sort of cusp. They will mostly survive long enough to receive improved treatments that will give them a further 30 or maybe 50 years. In other words, they will be staying ahead of the game. The therapies will be improving faster than the remaining imperfections in the therapies are catching up with us.","C'est la sorte de chose qui se produit après une percée fondamentale. Et vous voyez cela dans toutes sortes de technologies. Les ordinateurs: vous pouvez voir une ligne du temps plus ou moins analogue, qui a lieu évidemment un peu plus tard. Vous pouvez considérer les soins médicaux. Je veux dire l'hygiène, les vaccins, les antibiotiques -- vous savez - c'est la même sorte de ligne du temps. Donc, je pense que ce que je viens d'appeler la deuxième étape il y a un moment, ce n'est pas en fait une étape. En réalité, les gens qui sont assez jeunes pour bénéficier de ces premières thérapies qui donnent cette quantité modérée de rallongement de la vie, quoique ces gens-là sont déjà d'âge moyen lorsque les thérapies arrivent, vont se trouver à une sorte de moment charnière. Ils vont pour la plupart vivre assez longtemps pour recevoir des traitements améliorés qui leur donneront encore 30, ou peut-être 50 ans. autrement dit, ils vont avoir un train d'avance. Les thérapies vont s'améliorer plus rapidemment que la vitesse à laquelle les imperfections restantes des thérapies nous rattrapent."
